,tag,stmt,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-31 00:00:00,2012-03-31 00:00:00,2012-06-30 00:00:00,2012-09-30 00:00:00,2012-12-31 00:00:00,2013-03-31 00:00:00,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-06-30 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00
0,IncomeIncludingEquityAffilateEarningsBeforeIncomeTaxes,IS,7517000000.0,9204000000.0,34777000000.0,12068000000.0,-61000000.0,-64000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NetIncomeLossAttributableToNoncontrollingInterest,IS,-4000000.0,141000000.0,378000000.0,275000000.0,186000000.0,211000000.0,938000000.0,263000000.0,218000000.0,341000000.0,1146000000.0,349000000.0,1744000000.0,356000000.0,2801000000.0,261000000.0,115000000.0,199000000.0,868000000.0,270000000.0,337000000.0,276000000.0,1095000000.0,135000000.0,72000000.0,144000000.0,401000000.0,-29000000.0,-19000000.0,239000000.0,535000000.0,80000000.0,-86000000.0,115000000.0,138000000.0,133000000.0,36000000.0,206000000.0,581000000.0,56000000.0,261000000.0,77000000.0,434000000.0,-160000000.0,-89000000.0,-29000000.0,-811000000.0,66000000.0,91000000.0,192000000.0,558000000.0,270000000.0,724000000.0,538000000.0,1837000000.0,413000000.0,273000000.0,276000000.0,1344000000.0,346000000.0,331000000.0
2,TaxesOther,IS,8436000000.0,9094000000.0,34819000000.0,8613000000.0,7000000.0,8000000.0,36089000000.0,9394000000.0,10275000000.0,10212000000.0,39933000000.0,10288000000.0,9196000000.0,7883000000.0,35558000000.0,7945000000.0,8178000000.0,8523000000.0,33230000000.0,8021000000.0,8484000000.0,8244000000.0,32286000000.0,6613000000.0,6910000000.0,6981000000.0,27265000000.0,6104000000.0,6670000000.0,6496000000.0,25910000000.0,6270000000.0,6578000000.0,6952000000.0,30104000000.0,8147000000.0,8375000000.0,8303000000.0,32663000000.0,7405000000.0,7675000000.0,7676000000.0,30525000000.0,6832000000.0,5154000000.0,7352000000.0,26122000000.0,6660000000.0,7746000000.0,7889000000.0,30239000000.0,7554000000.0,6868000000.0,6587000000.0,27919000000.0,7221000000.0,7563000000.0,7712000000.0,29011000000.0,6323000000.0,6579000000.0
3,ProductionAndManufacturingExpenses,IS,8029000000.0,8097000000.0,33027000000.0,8435000000.0,1832000000.0,1972000000.0,33400000000.0,8989000000.0,9745000000.0,9601000000.0,38234000000.0,9319000000.0,9425000000.0,9128000000.0,38521000000.0,9736000000.0,10278000000.0,9842000000.0,40525000000.0,10088000000.0,10478000000.0,9951000000.0,40859000000.0,8730000000.0,9235000000.0,8614000000.0,35587000000.0,7561000000.0,8076000000.0,7709000000.0,31927000000.0,7845000000.0,8407000000.0,8334000000.0,34128000000.0,8491000000.0,8918000000.0,9097000000.0,36682000000.0,8970000000.0,9522000000.0,8848000000.0,36826000000.0,8297000000.0,6895000000.0,7103000000.0,30431000000.0,8062000000.0,8471000000.0,8719000000.0,36035000000.0,10241000000.0,10686000000.0,11317000000.0,42609000000.0,9436000000.0,8860000000.0,8696000000.0,36885000000.0,9091000000.0,9804000000.0
4,InterestExpense,IS,343000000.0,62000000.0,548000000.0,55000000.0,62000000.0,62000000.0,4035000000.0,1039000000.0,1151000000.0,1166000000.0,4512000000.0,1306000000.0,1159000000.0,59000000.0,327000000.0,24000000.0,85000000.0,52000000.0,9000000.0,66000000.0,64000000.0,88000000.0,286000000.0,88000000.0,85000000.0,78000000.0,311000000.0,77000000.0,75000000.0,106000000.0,453000000.0,146000000.0,158000000.0,111000000.0,601000000.0,204000000.0,147000000.0,200000000.0,766000000.0,181000000.0,216000000.0,232000000.0,830000000.0,249000000.0,317000000.0,279000000.0,1158000000.0,258000000.0,254000000.0,214000000.0,947000000.0,188000000.0,194000000.0,209000000.0,798000000.0,159000000.0,249000000.0,169000000.0,849000000.0,221000000.0,271000000.0
5,CostsAndExpenses,IS,66940000000.0,73056000000.0,275809000000.0,78183000000.0,62000000.0,62000000.0,648406000000.0,197823000000.0,221042000000.0,216185000000.0,848840000000.0,218547000000.0,196472000000.0,98386000000.0,403569000000.0,92769000000.0,93701000000.0,98183000000.0,380544000000.0,91546000000.0,97496000000.0,94080000000.0,360309000000.0,60983000000.0,67159000000.0,61595000000.0,246916000000.0,46977000000.0,55298000000.0,55451000000.0,218125000000.0,57369000000.0,58720000000.0,60582000000.0,225689000000.0,60971000000.0,66989000000.0,67525000000.0,259259000000.0,59336000000.0,64459000000.0,60328000000.0,244882000000.0,56416000000.0,34245000000.0,46571000000.0,210385000000.0,55555000000.0,61435000000.0,64180000000.0,254406000000.0,81944000000.0,90748000000.0,86648000000.0,335927000000.0,69761000000.0,71258000000.0,77061000000.0,291799000000.0,70714000000.0,79395000000.0
6,SellingGeneralAndAdministrativeExpense,IS,3519000000.0,3887000000.0,14735000000.0,3514000000.0,736000000.0,693000000.0,12482000000.0,3069000000.0,3154000000.0,3209000000.0,12748000000.0,2963000000.0,2868000000.0,3468000000.0,13877000000.0,3118000000.0,3268000000.0,3150000000.0,12877000000.0,3132000000.0,3169000000.0,3169000000.0,12598000000.0,2713000000.0,2831000000.0,2967000000.0,11501000000.0,2593000000.0,2646000000.0,2736000000.0,10799000000.0,2599000000.0,2628000000.0,2725000000.0,10956000000.0,2747000000.0,2993000000.0,2892000000.0,11480000000.0,2770000000.0,2827000000.0,2753000000.0,11398000000.0,2579000000.0,2409000000.0,2444000000.0,10168000000.0,2428000000.0,2345000000.0,2287000000.0,9574000000.0,2409000000.0,2530000000.0,2324000000.0,10095000000.0,2390000000.0,2449000000.0,2489000000.0,9919000000.0,2495000000.0,2568000000.0
7,TotalRevenuesAndOtherIncome,IS,74457000000.0,82260000000.0,310586000000.0,90251000000.0,1000000.0,-2000000.0,699444000000.0,217476000000.0,237234000000.0,234183000000.0,919549000000.0,235911000000.0,222498000000.0,115706000000.0,482295000000.0,108807000000.0,106469000000.0,112372000000.0,438255000000.0,106773000000.0,111647000000.0,107490000000.0,411939000000.0,67618000000.0,74113000000.0,67344000000.0,268882000000.0,48707000000.0,57694000000.0,58677000000.0,226094000000.0,63287000000.0,62876000000.0,66165000000.0,244363000000.0,68211000000.0,73501000000.0,76605000000.0,290212000000.0,63625000000.0,69091000000.0,,,,,,,,,,,,,,,,,,,,
8,IncomeTaxExpenseBenefit,IS,3571000000.0,4333000000.0,15119000000.0,5493000000.0,-22000000.0,-23000000.0,21649000000.0,8246000000.0,6805000000.0,7644000000.0,30300000000.0,7633000000.0,8256000000.0,7394000000.0,31045000000.0,6277000000.0,5793000000.0,6120000000.0,24263000000.0,5857000000.0,5034000000.0,5064000000.0,18015000000.0,1560000000.0,2692000000.0,1365000000.0,5415000000.0,-51000000.0,715000000.0,337000000.0,-406000000.0,1828000000.0,892000000.0,1498000000.0,-1174000000.0,2457000000.0,2526000000.0,2634000000.0,9532000000.0,1883000000.0,1241000000.0,1474000000.0,5282000000.0,512000000.0,-471000000.0,337000000.0,-5632000000.0,796000000.0,1526000000.0,2664000000.0,7636000000.0,2806000000.0,6359000000.0,5224000000.0,20176000000.0,4960000000.0,3503000000.0,4353000000.0,15429000000.0,3803000000.0,4094000000.0
9,DepreciationDepletionAndAmortization,IS,3004000000.0,2927000000.0,11917000000.0,3280000000.0,440000000.0,410000000.0,12999000000.0,3375000000.0,3456000000.0,3488000000.0,13923000000.0,3438000000.0,3489000000.0,4037000000.0,15888000000.0,4110000000.0,4405000000.0,4287000000.0,17182000000.0,4192000000.0,4285000000.0,4362000000.0,17297000000.0,4300000000.0,4451000000.0,4542000000.0,18048000000.0,4765000000.0,4821000000.0,4605000000.0,22308000000.0,4519000000.0,4652000000.0,4880000000.0,19893000000.0,4470000000.0,4589000000.0,4658000000.0,18745000000.0,4571000000.0,4631000000.0,4873000000.0,18998000000.0,5819000000.0,4916000000.0,4983000000.0,46009000000.0,5004000000.0,4952000000.0,4990000000.0,20607000000.0,8883000000.0,4451000000.0,5642000000.0,24040000000.0,4244000000.0,4242000000.0,4415000000.0,20641000000.0,4812000000.0,5787000000.0
