,tag,stmt,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-31 00:00:00,2012-03-31 00:00:00,2012-06-30 00:00:00,2012-09-30 00:00:00,2012-12-31 00:00:00,2013-03-31 00:00:00,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-06-30 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00
0,CreditCardIncome,IS,1719000000.0,1710000000.0,7110000000.0,1361000000.0,1495000000.0,1477000000.0,5891000000.0,1437000000.0,1696000000.0,1666000000.0,6158000000.0,1316000000.0,1412000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ProvisionForLoanLeaseAndOtherLosses,IS,8031000000.0,8104000000.0,32015000000.0,7010000000.0,3363000000.0,3223000000.0,16639000000.0,1169000000.0,,,,,,1789000000.0,3385000000.0,617000000.0,47000000.0,-543000000.0,225000000.0,850000000.0,692000000.0,757000000.0,3139000000.0,959000000.0,935000000.0,682000000.0,3827000000.0,1824000000.0,1402000000.0,1271000000.0,5361000000.0,1315000000.0,1215000000.0,1452000000.0,5290000000.0,1165000000.0,1210000000.0,948000000.0,4871000000.0,1495000000.0,1149000000.0,1514000000.0,5585000000.0,8285000000.0,10473000000.0,611000000.0,17480000000.0,-4156000000.0,-2285000000.0,-1527000000.0,-9256000000.0,1463000000.0,1101000000.0,1537000000.0,6389000000.0,2275000000.0,2899000000.0,1384000000.0,9320000000.0,1884000000.0,3052000000.0
2,OtherThanTemporaryImpairmentLosses,IS,186000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,InterestExpense,IS,3879000000.0,3523000000.0,15198000000.0,3135000000.0,3032000000.0,3104000000.0,12781000000.0,3542000000.0,3796000000.0,3343000000.0,13604000000.0,3035000000.0,2953000000.0,2653000000.0,11153000000.0,2494000000.0,2441000000.0,2387000000.0,9677000000.0,2126000000.0,2063000000.0,1819000000.0,3645000000.0,1888000000.0,1830000000.0,1815000000.0,3720000000.0,2172000000.0,2466000000.0,2467000000.0,4413000000.0,2978000000.0,3442000000.0,3889000000.0,14275000000.0,4383000000.0,5384000000.0,5932000000.0,22383000000.0,7441000000.0,7205000000.0,6893000000.0,26795000000.0,4722000000.0,2259000000.0,1687000000.0,9960000000.0,1382000000.0,1353000000.0,1400000000.0,5553000000.0,1624000000.0,3518000000.0,8093000000.0,26097000000.0,16293000000.0,19865000000.0,21830000000.0,81321000000.0,24356000000.0,
4,TechnologyCommunicationsAndEquipmentExpense,IS,1156000000.0,1140000000.0,4624000000.0,1137000000.0,1165000000.0,1184000000.0,4684000000.0,1200000000.0,1217000000.0,1248000000.0,4947000000.0,1271000000.0,1282000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NetImpairmentLosses,IS,696000000.0,-18000000.0,368000000.0,-6000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AmortizationOfIntangibleAssets,IS,265000000.0,254000000.0,1050000000.0,243000000.0,235000000.0,218000000.0,936000000.0,217000000.0,212000000.0,212000000.0,848000000.0,193000000.0,191000000.0,182000000.0,957000000.0,152000000.0,152000000.0,140000000.0,637000000.0,131000000.0,132000000.0,51000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MarketingAndAdvertisingExpense,IS,417000000.0,440000000.0,1777000000.0,583000000.0,628000000.0,651000000.0,2446000000.0,659000000.0,744000000.0,926000000.0,3143000000.0,680000000.0,642000000.0,607000000.0,2577000000.0,589000000.0,578000000.0,588000000.0,2500000000.0,564000000.0,650000000.0,610000000.0,2550000000.0,591000000.0,642000000.0,704000000.0,2708000000.0,703000000.0,672000000.0,825000000.0,2897000000.0,713000000.0,756000000.0,710000000.0,2900000000.0,800000000.0,798000000.0,798000000.0,3290000000.0,879000000.0,862000000.0,945000000.0,3579000000.0,859000000.0,481000000.0,470000000.0,2476000000.0,751000000.0,626000000.0,712000000.0,3036000000.0,920000000.0,881000000.0,1017000000.0,3911000000.0,1045000000.0,1122000000.0,1126000000.0,4591000000.0,1160000000.0,1221000000.0
8,OtherNoninterestExpense,IS,2190000000.0,1767000000.0,7594000000.0,4441000000.0,2419000000.0,3082000000.0,363000000.0,2943000000.0,4299000000.0,3445000000.0,649000000.0,4832000000.0,2487000000.0,3035000000.0,14032000000.0,2301000000.0,2951000000.0,10000000.0,14000000.0,1933000000.0,2701000000.0,2956000000.0,827000000.0,2191000000.0,1974000000.0,3057000000.0,2611000000.0,1425000000.0,924000000.0,1664000000.0,1643000000.0,1773000000.0,1618000000.0,1355000000.0,28000000.0,1355000000.0,1560000000.0,1398000000.0,30000000.0,1108000000.0,1282000000.0,1234000000.0,5087000000.0,1424000000.0,1283000000.0,1891000000.0,5941000000.0,1536000000.0,1264000000.0,1159000000.0,5469000000.0,1418000000.0,1593000000.0,1613000000.0,6365000000.0,1639000000.0,2586000000.0,2702000000.0,12045000000.0,2299000000.0,3122000000.0
9,Revenues,IS,25623000000.0,26622000000.0,100434000000.0,27671000000.0,25101000000.0,23824000000.0,19914000000.0,25221000000.0,26779000000.0,23763000000.0,15802000000.0,26712000000.0,22180000000.0,25146000000.0,97031000000.0,25122000000.0,25211000000.0,23117000000.0,96606000000.0,22993000000.0,24454000000.0,24246000000.0,16717000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
