,tag,stmt,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-31 00:00:00,2012-03-31 00:00:00,2012-06-30 00:00:00,2012-09-30 00:00:00,2012-12-31 00:00:00,2013-03-31 00:00:00,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-06-30 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00
0,OperatingExpenses,IS,1351000000.0,5482000000.0,1686000000.0,1646000000.0,1902000000.0,7299000000.0,2471000000.0,2344000000.0,2543000000.0,10028000000.0,3363000000.0,3180000000.0,3421000000.0,13421000000.0,3850000000.0,3791000000.0,3823000000.0,15305000000.0,4383000000.0,4354000000.0,4453000000.0,18034000000.0,5495000000.0,5378000000.0,5598000000.0,22396000000.0,6252000000.0,5934000000.0,6001000000.0,24239000000.0,6817000000.0,6494000000.0,6720000000.0,26842000000.0,7638000000.0,7528000000.0,7809000000.0,30941000000.0,8685000000.0,8406000000.0,8683000000.0,34462000000.0,9648000000.0,9517000000.0,9589000000.0,38668000000.0,10794000000.0,10576000000.0,11129000000.0,43887000000.0,12755000000.0,12580000000.0,12809000000.0,51345000000.0,14316000000.0,13658000000.0,13415000000.0,54847000000.0,14482000000.0,14371000000.0,14326000000.0
1,WeightedAverageNumberOfSharesOutstandingBasic,IS,893712000.0,893016000.0,903542000.0,907548000.0,912197000.0,909461000.0,919294000.0,923196000.0,926108000.0,924258000.0,931041000.0,933582000.0,936596000.0,934818000.0,938916000.0,939629000.0,918618000.0,925331000.0,896072000.0,874757000.0,6012635000.0,6085572000.0,5843082000.0,5793799000.0,5729886000.0,5753421000.0,5558930000.0,5514381000.0,5443058000.0,5470820000.0,5298661000.0,5225791000.0,5195088000.0,5217242000.0,5112877000.0,5024877000.0,4882167000.0,4955377000.0,4735820000.0,4674071000.0,4570633000.0,4617834000.0,4415040000.0,4360101000.0,4312573000.0,17352119000.0,16935119000.0,16753476000.0,16629371000.0,16701272000.0,16391724000.0,16278802000.0,16162945000.0,16215963000.0,15892723000.0,15787154000.0,15697614000.0,15744231000.0,15509763000.0,15405856000.0,15287521000.0
2,SellingGeneralAndAdministrativeExpense,IS,1010000000.0,4149000000.0,1288000000.0,1220000000.0,1438000000.0,5517000000.0,1896000000.0,1763000000.0,1915000000.0,7599000000.0,2605000000.0,2339000000.0,2545000000.0,10040000000.0,2840000000.0,2672000000.0,2645000000.0,10830000000.0,3053000000.0,2932000000.0,2850000000.0,11993000000.0,3600000000.0,3460000000.0,3564000000.0,14329000000.0,3848000000.0,3423000000.0,3441000000.0,14194000000.0,3946000000.0,3718000000.0,3783000000.0,15261000000.0,4231000000.0,4150000000.0,4108000000.0,16705000000.0,4783000000.0,4458000000.0,4426000000.0,18245000000.0,5197000000.0,4952000000.0,4831000000.0,19916000000.0,5631000000.0,5314000000.0,5412000000.0,21973000000.0,6449000000.0,6193000000.0,6012000000.0,25094000000.0,6607000000.0,6201000000.0,5973000000.0,24932000000.0,6786000000.0,6468000000.0,6320000000.0
3,IncomeTaxExpenseBenefit,IS,503000000.0,2280000000.0,1380000000.0,955000000.0,1039000000.0,4527000000.0,1959000000.0,1913000000.0,2243000000.0,8283000000.0,4413000000.0,3910000000.0,3037000000.0,14030000000.0,4594000000.0,3358000000.0,2535000000.0,13118000000.0,4637000000.0,3595000000.0,2736000000.0,13973000000.0,6392000000.0,4995000000.0,3796000000.0,19121000000.0,6212000000.0,3626000000.0,2673000000.0,15685000000.0,6289000000.0,3655000000.0,2591000000.0,15738000000.0,6965000000.0,2346000000.0,1765000000.0,13372000000.0,3941000000.0,2232000000.0,1867000000.0,10481000000.0,3682000000.0,1886000000.0,1884000000.0,9680000000.0,4824000000.0,4381000000.0,2625000000.0,14527000000.0,6611000000.0,5129000000.0,3624000000.0,19300000000.0,5625000000.0,4222000000.0,2852000000.0,16741000000.0,6407000000.0,4422000000.0,4046000000.0
4,OperatingIncomeLoss,IS,1672000000.0,7658000000.0,4725000000.0,3979000000.0,4234000000.0,18385000000.0,7827000000.0,7874000000.0,9379000000.0,33790000000.0,17340000000.0,15384000000.0,11573000000.0,55241000000.0,17210000000.0,12558000000.0,9201000000.0,48999000000.0,17463000000.0,13593000000.0,10282000000.0,52503000000.0,24246000000.0,18278000000.0,14083000000.0,71230000000.0,24171000000.0,13987000000.0,10105000000.0,60024000000.0,23359000000.0,14097000000.0,10768000000.0,61344000000.0,26274000000.0,15894000000.0,12612000000.0,70898000000.0,23346000000.0,13415000000.0,11544000000.0,63930000000.0,25569000000.0,12853000000.0,13091000000.0,66288000000.0,33534000000.0,27503000000.0,24126000000.0,108949000000.0,41488000000.0,29979000000.0,23076000000.0,119437000000.0,36016000000.0,28318000000.0,22998000000.0,114301000000.0,40373000000.0,27900000000.0,25352000000.0
5,NetIncomeLoss,IS,1229000000.0,5704000000.0,3378000000.0,3074000000.0,3253000000.0,4308000000.0,6004000000.0,5987000000.0,7308000000.0,6623000000.0,13064000000.0,11622000000.0,8824000000.0,8223000000.0,13078000000.0,9547000000.0,6900000000.0,7512000000.0,13072000000.0,10223000000.0,7748000000.0,8467000000.0,18024000000.0,13569000000.0,10677000000.0,11124000000.0,18361000000.0,10516000000.0,7796000000.0,9014000000.0,17891000000.0,11029000000.0,8717000000.0,10714000000.0,20065000000.0,13822000000.0,11519000000.0,14125000000.0,19965000000.0,11561000000.0,10044000000.0,13686000000.0,22236000000.0,11249000000.0,11253000000.0,12673000000.0,28755000000.0,23630000000.0,21744000000.0,94680000000.0,34630000000.0,25010000000.0,19442000000.0,99803000000.0,29998000000.0,24160000000.0,19881000000.0,96995000000.0,33916000000.0,23636000000.0,21448000000.0
6,WeightedAverageNumberOfDilutedSharesOutstanding,IS,909160000.0,907005000.0,919783000.0,922878000.0,927361000.0,924712000.0,933154000.0,935944000.0,937810000.0,936645000.0,941572000.0,944893000.0,947059000.0,945355000.0,947217000.0,946035000.0,924265000.0,931662000.0,901452000.0,879528000.0,6051711000.0,6122663000.0,5881803000.0,5834858000.0,5773099000.0,5793069000.0,5594127000.0,5540886000.0,5472781000.0,5500281000.0,5327995000.0,5261688000.0,5233499000.0,5251692000.0,5157787000.0,5068493000.0,4926609000.0,5000109000.0,4773252000.0,4700646000.0,4601380000.0,4648913000.0,4454604000.0,4404691000.0,4354788000.0,17528214000.0,17113688000.0,16929157000.0,16781735000.0,16864919000.0,16519291000.0,16403316000.0,16262203000.0,16325819000.0,15955718000.0,15847050000.0,15775021000.0,15812547000.0,15576641000.0,15464709000.0,15348175000.0
7,NonoperatingIncomeExpense,IS,60000000.0,326000000.0,33000000.0,50000000.0,58000000.0,155000000.0,136000000.0,26000000.0,172000000.0,415000000.0,137000000.0,148000000.0,288000000.0,522000000.0,462000000.0,347000000.0,234000000.0,1156000000.0,246000000.0,225000000.0,202000000.0,980000000.0,170000000.0,286000000.0,390000000.0,1285000000.0,402000000.0,155000000.0,364000000.0,1348000000.0,821000000.0,587000000.0,540000000.0,2745000000.0,756000000.0,274000000.0,672000000.0,2005000000.0,560000000.0,378000000.0,367000000.0,1807000000.0,349000000.0,282000000.0,46000000.0,803000000.0,45000000.0,508000000.0,243000000.0,258000000.0,-247000000.0,160000000.0,-10000000.0,-334000000.0,-393000000.0,64000000.0,-265000000.0,-565000000.0,-50000000.0,158000000.0,142000000.0
8,SalesRevenueNet,IS,8337000000.0,36537000000.0,15683000000.0,13499000000.0,15700000000.0,20343000000.0,26741000000.0,24667000000.0,28571000000.0,28270000000.0,46333000000.0,39186000000.0,35023000000.0,35966000000.0,54512000000.0,43603000000.0,35323000000.0,37472000000.0,57594000000.0,45646000000.0,37432000000.0,42123000000.0,74599000000.0,58010000000.0,49605000000.0,51501000000.0,75872000000.0,50557000000.0,42358000000.0,46852000000.0,78351000000.0,52896000000.0,45408000000.0,52579000000.0,88293000000.0,61137000000.0,53265000000.0,,,,,,,,,,,,,,,,,,,,,,,,
9,EarningsPerShareBasic,IS,1.38,6.39,3.74,3.39,3.57,4.71,6.53,6.49,7.89,7.13,14.03,12.45,9.42,8.76,13.93,10.16,7.51,8.31,14.59,11.69,1.29,1.43,3.08,2.34,1.86,1.97,3.3,1.91,1.43,1.68,3.38,2.11,1.68,2.08,3.92,2.75,2.36,2.94,4.22,2.47,2.2,3.05,5.04,2.58,2.61,0.74,1.7,1.41,1.31,5.67,2.11,1.54,1.2,6.15,1.89,1.53,1.27,6.16,2.19,1.53,1.4
