,tag,stmt,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-31 00:00:00,2012-03-31 00:00:00,2012-06-30 00:00:00,2012-09-30 00:00:00,2012-12-31 00:00:00,2013-03-31 00:00:00,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-06-30 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00
0,OtherCostAndExpenseOperating,IS,177000000.0,176000000.0,671000000.0,178000000.0,149000000.0,203000000.0,742000000.0,,,279000000.0,1177000000.0,322000000.0,275000000.0,298000000.0,1060000000.0,194000000.0,232000000.0,202000000.0,841000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CostOfGoodsSold,IS,8069000000.0,7861000000.0,32301000000.0,7606000000.0,8182000000.0,8045000000.0,32655000000.0,7603000000.0,8123000000.0,8667000000.0,32968000000.0,8080000000.0,8351000000.0,8413000000.0,33495000000.0,7671000000.0,7815000000.0,7759000000.0,31346000000.0,7339000000.0,7930000000.0,7659000000.0,31965000000.0,6951000000.0,8102000000.0,7869000000.0,32006000000.0,8092000000.0,9086000000.0,9027000000.0,36616000000.0,8687000000.0,9751000000.0,9481000000.0,39750000000.0,8697000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,CostOfServices,IS,1978000000.0,2023000000.0,7993000000.0,1917000000.0,2051000000.0,2151000000.0,8350000000.0,1929000000.0,2178000000.0,2138000000.0,8514000000.0,1917000000.0,2115000000.0,2154000000.0,8383000000.0,2134000000.0,2137000000.0,2202000000.0,8588000000.0,1950000000.0,2063000000.0,2228000000.0,8393000000.0,1951000000.0,2216000000.0,2326000000.0,9011000000.0,2463000000.0,2548000000.0,1313000000.0,6040000000.0,1376000000.0,1658000000.0,1513000000.0,6405000000.0,1689000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,GrossProfit,IS,1012000000.0,996000000.0,4224000000.0,936000000.0,1060000000.0,798000000.0,3836000000.0,802000000.0,897000000.0,996000000.0,3704000000.0,974000000.0,1180000000.0,981000000.0,4196000000.0,1041000000.0,1224000000.0,1184000000.0,4187000000.0,1371000000.0,1341000000.0,1275000000.0,5255000000.0,1263000000.0,1371000000.0,1256000000.0,5200000000.0,1235000000.0,1424000000.0,1384000000.0,5062000000.0,1153000000.0,1425000000.0,1351000000.0,5548000000.0,1658000000.0,1753000000.0,1921000000.0,7274000000.0,2188000000.0,1993000000.0,2063000000.0,8367000000.0,2091000000.0,2213000000.0,2136000000.0,8654000000.0,2186000000.0,2151000000.0,2302000000.0,9061000000.0,1909000000.0,1956000000.0,2120000000.0,8287000000.0,2046000000.0,2090000000.0,2048000000.0,8479000000.0,1993000000.0,2130000000.0
4,OtherOperatingIncomeExpense,IS,71000000.0,89000000.0,242000000.0,46000000.0,75000000.0,91000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,OtherNonoperatingIncomeExpense,IS,47000000.0,54000000.0,123000000.0,28000000.0,-19000000.0,37000000.0,74000000.0,19000000.0,9000000.0,-3000000.0,5000000.0,35000000.0,13000000.0,45000000.0,21000000.0,-2000000.0,1000000.0,3000000.0,,2000000.0,2000000.0,1000000.0,6000000.0,3000000.0,2000000.0,1000000.0,30000000.0,1000000.0,1000000.0,1000000.0,,1000000.0,-2000000.0,-7000000.0,-1000000.0,-210000000.0,-210000000.0,-211000000.0,-828000000.0,-167000000.0,-162000000.0,-162000000.0,-651000000.0,56000000.0,25000000.0,54000000.0,182000000.0,169000000.0,120000000.0,98000000.0,288000000.0,123000000.0,-161000000.0,-26000000.0,-74000000.0,49000000.0,-17000000.0,37000000.0,64000000.0,45000000.0,46000000.0
6,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IS,1054000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,OperatingIncomeLoss,IS,1083000000.0,1085000000.0,4466000000.0,982000000.0,1135000000.0,889000000.0,1128000000.0,852000000.0,984000000.0,1041000000.0,1082000000.0,1009000000.0,1200000000.0,1098000000.0,1061000000.0,1119000000.0,1298000000.0,1254000000.0,834000000.0,1432000000.0,1426000000.0,1392000000.0,1342000000.0,1356000000.0,1445000000.0,1354000000.0,1281000000.0,1297000000.0,1566000000.0,1588000000.0,1428000000.0,1149000000.0,1485000000.0,1428000000.0,1859000000.0,1725000000.0,1795000000.0,1963000000.0,1851000000.0,2283000000.0,2008000000.0,2105000000.0,2149000000.0,2122000000.0,2086000000.0,2147000000.0,2289000000.0,2182000000.0,2192000000.0,2294000000.0,9123000000.0,1933000000.0,1963000000.0,2159000000.0,8348000000.0,2037000000.0,2135000000.0,2042000000.0,8507000000.0,2029000000.0,2148000000.0
8,InterestExpense,IS,76000000.0,67000000.0,305000000.0,88000000.0,86000000.0,85000000.0,345000000.0,85000000.0,84000000.0,89000000.0,354000000.0,96000000.0,96000000.0,97000000.0,383000000.0,92000000.0,88000000.0,84000000.0,350000000.0,86000000.0,85000000.0,82000000.0,340000000.0,93000000.0,104000000.0,104000000.0,443000000.0,164000000.0,166000000.0,162000000.0,663000000.0,155000000.0,160000000.0,162000000.0,651000000.0,155000000.0,165000000.0,177000000.0,668000000.0,171000000.0,163000000.0,162000000.0,653000000.0,148000000.0,149000000.0,145000000.0,591000000.0,140000000.0,142000000.0,141000000.0,569000000.0,135000000.0,141000000.0,145000000.0,623000000.0,202000000.0,223000000.0,237000000.0,916000000.0,255000000.0,
9,IncomeTaxExpenseBenefit,IS,320000000.0,275000000.0,1260000000.0,375000000.0,303000000.0,276000000.0,1181000000.0,238000000.0,167000000.0,,,,,,,,352000000.0,331000000.0,1205000000.0,415000000.0,452000000.0,423000000.0,1644000000.0,388000000.0,414000000.0,386000000.0,1418000000.0,340000000.0,379000000.0,338000000.0,1133000000.0,232000000.0,381000000.0,320000000.0,3340000000.0,203000000.0,257000000.0,102000000.0,792000000.0,241000000.0,263000000.0,173000000.0,1011000000.0,313000000.0,336000000.0,303000000.0,1347000000.0,374000000.0,355000000.0,65000000.0,1235000000.0,328000000.0,21000000.0,321000000.0,948000000.0,305000000.0,325000000.0,269000000.0,1178000000.0,290000000.0,307000000.0
10,EarningsPerShareBasic,IS,1.9,2.09,7.86,1.46,2.25,1.59,2.76,1.52,2.16,2.12,2.12,2.06,2.41,2.25,1.76,2.37,2.68,2.72,1.53,2.92,2.81,2.81,2.87,2.78,2.98,2.8,3.05,2.61,3.37,8.02,3.39,2.63,3.27,3.27,-2.25,4.05,4.08,5.18,4.43,6.03,5.03,5.7,5.32,6.1,5.81,6.08,6.41,6.58,6.54,2.22,22.85,6.46,1.16,6.73,21.74,6.63,6.65,6.75,27.65,6.42,6.87
11,SalesRevenueServicesNet,IS,2206000000.0,2219000000.0,8853000000.0,2149000000.0,2253000000.0,2410000000.0,9355000000.0,2129000000.0,2434000000.0,2439000000.0,9574000000.0,2145000000.0,2378000000.0,2374000000.0,9365000000.0,2364000000.0,2403000000.0,2488000000.0,9667000000.0,2240000000.0,2326000000.0,2512000000.0,9507000000.0,2258000000.0,2486000000.0,2651000000.0,10250000000.0,2758000000.0,2869000000.0,1489000000.0,6883000000.0,1544000000.0,1857000000.0,1673000000.0,7173000000.0,1873000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
