,tag,stmt,2009-07-31 00:00:00,2009-10-31 00:00:00,2010-01-31 00:00:00,2010-04-30 00:00:00,2010-07-31 00:00:00,2010-10-31 00:00:00,2011-01-31 00:00:00,2011-04-30 00:00:00,2011-07-31 00:00:00,2011-10-31 00:00:00,2012-01-31 00:00:00,2012-04-30 00:00:00,2012-07-31 00:00:00,2012-10-31 00:00:00,2013-01-31 00:00:00,2013-04-30 00:00:00,2013-07-31 00:00:00,2013-10-31 00:00:00,2014-01-31 00:00:00,2014-04-30 00:00:00,2014-07-31 00:00:00,2014-10-31 00:00:00,2015-01-31 00:00:00,2015-04-30 00:00:00,2015-07-31 00:00:00,2015-10-31 00:00:00,2016-01-31 00:00:00,2016-04-30 00:00:00,2016-07-31 00:00:00,2016-10-31 00:00:00,2017-01-31 00:00:00,2017-04-30 00:00:00,2017-07-31 00:00:00,2017-10-31 00:00:00,2018-01-31 00:00:00,2018-04-30 00:00:00,2018-07-31 00:00:00,2018-10-31 00:00:00,2019-01-31 00:00:00,2019-04-30 00:00:00,2019-07-31 00:00:00,2019-10-31 00:00:00,2020-01-31 00:00:00,2020-04-30 00:00:00,2020-07-31 00:00:00,2020-10-31 00:00:00,2021-01-31 00:00:00,2021-04-30 00:00:00,2021-07-31 00:00:00,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,2022-10-31 00:00:00,2023-01-31 00:00:00,2023-04-30 00:00:00,2023-07-31 00:00:00,2023-10-31 00:00:00,2024-01-31 00:00:00,2024-04-30 00:00:00,2024-07-31 00:00:00
0,CostOfRevenue,IS,619797000.0,511423000.0,2149522000.0,545436000.0,676916000.0,451850000.0,460017000.0,477536000.0,491233000.0,509463000.0,463181000.0,461513000.0,503551000.0,567452000.0,521300000.0,436171000.0,431700000.0,469552000.0,524976000.0,498585000.0,483850000.0,548684000.0,550911000.0,498000000.0,519000000.0,571000000.0,610000000.0,554000000.0,602000000.0,821000000.0,870000000.0,787000000.0,928000000.0,1067000000.0,1110000000.0,1139000000.0,1148000000.0,1260000000.0,,924000000.0,1038000000.0,1098000000.0,,1076000000.0,1591000000.0,1766000000.0,,2032000000.0,2292000000.0,2472000000.0,9439000000.0,2857000000.0,3789000000.0,2754000000.0,11618000000.0,2544000000.0,4045000000.0,4720000000.0,16621000000.0,5638000000.0,7466000000.0
1,GrossProfit,IS,156723000.0,391783000.0,1176923000.0,456377000.0,134292000.0,392062000.0,426359000.0,484503000.0,525284000.0,556717000.0,490013000.0,463364000.0,540719000.0,636658000.0,585602000.0,518568000.0,545538000.0,584415000.0,619242000.0,604202000.0,618974000.0,676698000.0,699603000.0,653000000.0,634000000.0,734000000.0,791000000.0,751000000.0,826000000.0,1183000000.0,1303000000.0,1150000000.0,1302000000.0,1569000000.0,1801000000.0,2068000000.0,1975000000.0,1921000000.0,1207000000.0,1296000000.0,1541000000.0,1916000000.0,2015000000.0,2004000000.0,2275000000.0,2960000000.0,10396000000.0,3629000000.0,4215000000.0,4631000000.0,17475000000.0,5431000000.0,2915000000.0,3177000000.0,15356000000.0,4648000000.0,9462000000.0,13400000000.0,44301000000.0,20406000000.0,22574000000.0
2,OtherNonoperatingIncomeExpense,IS,-2773000.0,-3082000.0,-3144000.0,-2239000.0,1355000.0,-4418000.0,-508000.0,-3690000.0,-1749000.0,3341000.0,-963000.0,-929000.0,269000.0,-3290000.0,-2814000.0,205000.0,2421000.0,-3526000.0,7351000.0,17684000.0,-3857000.0,-125000.0,13890000.0,-1000000.0,-1000000.0,3000000.0,4000000.0,-4000000.0,0.0,-16000000.0,-25000000.0,-18000000.0,-4000000.0,-1000000.0,-22000000.0,6000000.0,5000000.0,1000000.0,14000000.0,0.0,1000000.0,0.0,-2000000.0,-1000000.0,-1000000.0,-4000000.0,4000000.0,135000000.0,4000000.0,22000000.0,107000000.0,-13000000.0,-5000000.0,-11000000.0,-48000000.0,-15000000.0,59000000.0,-66000000.0,237000000.0,75000000.0,189000000.0
3,WeightedAverageNumberOfSharesOutstandingBasic,IS,546639000.0,551283000.0,549574.0,567183.0,572764.0,577323.0,575177.0,594802.0,601340.0,607063000.0,603646000.0,615780000.0,618996000.0,622352000.0,619324000.0,616872000.0,585345000.0,580870000.0,587893000.0,559092000.0,558223000.0,547789000.0,552319000.0,549000000.0,541000000.0,542000000.0,543000000.0,537000000.0,534000000.0,538000000.0,541000000.0,592000000.0,597000000.0,603000000.0,599000000.0,606000000.0,607000000.0,609000000.0,608000000.0,607000000.0,609000000.0,610000000.0,609000000.0,614000000.0,616000000.0,618000000.0,617000000.0,621000000.0,2493000000.0,2499000000.0,2496000000.0,2506000000.0,2495000000.0,2483000000.0,2487000000.0,2470000000.0,2473000000.0,2468000000.0,2469000000.0,2462000000.0,24578000000.0
4,InvestmentIncomeInterest,IS,5779000.0,5444000.0,23115000.0,5571000.0,4805000.0,4220000.0,19057000.0,5313000.0,5266000.0,4356000.0,19149000.0,5198000.0,5316000.0,4701000.0,19908000.0,5076000.0,3865000.0,4022000.0,17119000.0,5710000.0,6829000.0,7422000.0,28090000.0,9000000.0,9000000.0,9000000.0,39000000.0,12000000.0,12000000.0,14000000.0,54000000.0,16000000.0,15000000.0,17000000.0,69000000.0,25000000.0,32000000.0,37000000.0,136000000.0,44000000.0,47000000.0,45000000.0,178000000.0,31000000.0,13000000.0,7000000.0,57000000.0,6000000.0,6000000.0,7000000.0,29000000.0,18000000.0,46000000.0,88000000.0,267000000.0,150000000.0,187000000.0,234000000.0,866000000.0,359000000.0,444000000.0
5,OperatingIncomeLoss,IS,-110107000.0,107845000.0,-98945000.0,147393000.0,-175207000.0,103783000.0,255747000.0,154862000.0,174030000.0,197090000.0,648299000.0,72826000.0,139623000.0,252217000.0,648239000.0,82781000.0,105534000.0,140988000.0,496227000.0,151359000.0,163179000.0,213315000.0,758989000.0,176000000.0,76000000.0,245000000.0,747000000.0,245000000.0,317000000.0,639000000.0,1934000000.0,554000000.0,688000000.0,895000000.0,3210000000.0,1295000000.0,1157000000.0,1058000000.0,3804000000.0,358000000.0,571000000.0,927000000.0,2846000000.0,976000000.0,651000000.0,1398000000.0,4532000000.0,1956000000.0,2444000000.0,2671000000.0,10041000000.0,1868000000.0,499000000.0,601000000.0,4224000000.0,2140000000.0,6800000000.0,10417000000.0,32972000000.0,16909000000.0,18642000000.0
6,ResearchAndDevelopmentExpense,IS,192855000.0,197948000.0,908851000.0,218105000.0,210635000.0,204527000.0,848830000.0,231524000.0,247721000.0,256498000.0,1002605000.0,283902000.0,281193000.0,284180000.0,1147282000.0,327161000.0,331738000.0,340294000.0,1335834000.0,334263000.0,337124000.0,340085000.0,1359725000.0,339000000.0,320000000.0,329000000.0,1331000000.0,346000000.0,350000000.0,373000000.0,1463000000.0,411000000.0,416000000.0,462000000.0,1797000000.0,542000000.0,581000000.0,605000000.0,2376000000.0,674000000.0,704000000.0,712000000.0,2829000000.0,735000000.0,997000000.0,1047000000.0,3924000000.0,1153000000.0,1245000000.0,1403000000.0,5268000000.0,1618000000.0,1824000000.0,1945000000.0,7339000000.0,1875000000.0,2040000000.0,2294000000.0,8675000000.0,2720000000.0,3090000000.0
7,SellingGeneralAndAdministrativeExpense,IS,73975000.0,85990000.0,367017000.0,90879000.0,98864000.0,83752000.0,361513000.0,98117000.0,103533000.0,103129000.0,405613000.0,106636000.0,119903000.0,100261000.0,430822000.0,108626000.0,108266000.0,103133000.0,435702000.0,118580000.0,118671000.0,123298000.0,480763000.0,138000000.0,149000000.0,152000000.0,602000000.0,159000000.0,157000000.0,171000000.0,663000000.0,185000000.0,198000000.0,212000000.0,815000000.0,231000000.0,237000000.0,258000000.0,991000000.0,264000000.0,266000000.0,277000000.0,1093000000.0,293000000.0,627000000.0,515000000.0,1940000000.0,520000000.0,526000000.0,557000000.0,2166000000.0,592000000.0,592000000.0,631000000.0,2440000000.0,633000000.0,622000000.0,689000000.0,2654000000.0,777000000.0,842000000.0
8,IncomeLossBeforeIncomeTaxExpenseBenefit,IS,-107101000.0,110207000.0,-82294000.0,150725000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,IncomeTaxExpenseBenefit,IS,-1799000.0,2630000.0,-14307000.0,13131000.0,-28086000.0,18723000.0,18023000.0,21266000.0,25974000.0,26514000.0,82306000.0,16658000.0,26162000.0,44548000.0,99503000.0,10171000.0,15372000.0,22750000.0,70264000.0,26766000.0,26649000.0,36103000.0,124249000.0,38000000.0,46000000.0,-1000000.0,129000000.0,45000000.0,64000000.0,79000000.0,239000000.0,29000000.0,101000000.0,58000000.0,149000000.0,67000000.0,79000000.0,-149000000.0,-245000000.0,-5000000.0,54000000.0,60000000.0,174000000.0,64000000.0,-13000000.0,12000000.0,77000000.0,132000000.0,20000000.0,174000000.0,189000000.0,187000000.0,-181000000.0,-67000000.0,-187000000.0,166000000.0,793000000.0,1279000000.0,4058000000.0,2398000000.0,2615000000.0
