STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,EMP,Employment rate,MEN,Men,PC_WKGPOP,% of working age population,Q,Quarterly,2013-Q1,,72.57149,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,EMP,Employment rate,MEN,Men,THND_PER,Thousand persons,Q,Quarterly,2013-Q1,,76206.34,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,CPI,Inflation (CPI),ENRG,Energy,IDX2015,2015=100,Q,Quarterly,2023-Q2,,139.1561,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,INDPROD,Industrial production,MFG,Manufacturing,IDX2015,2015=100,Q,Quarterly,2023-Q3,,99.33746,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,INDPROD,Industrial production,TOT,Total,IDX2015,2015=100,Q,Quarterly,2023-Q2,,101.8953,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,CPI,Inflation (CPI),ENRG,Energy,AGRWTH,Annual growth rate (%),Q,Quarterly,2023-Q3,,-5.706362,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,EMP,Employment rate,WOMEN,Women,PC_WKGPOP,% of working age population,Q,Quarterly,2023-Q3,,67.69248,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,LTINT,Long-term interest rates,TOT,Total,PC_PA,% per annum,Q,Quarterly,2023-Q3,,4.15,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,CPI,Inflation (CPI),TOT_FOODENRG,"Total less food, less energy",AGRWTH,Annual growth rate (%),Q,Quarterly,2023-Q3,,4.382081,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,INDPROD,Industrial production,MFG,Manufacturing,IDX2015,2015=100,Q,Quarterly,2017-Q3,,99.46012,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,CPI,Inflation (CPI),ENRG,Energy,AGRWTH,Annual growth rate (%),Q,Quarterly,2017-Q3,,6.636244,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,EMP,Employment rate,WOMEN,Women,PC_WKGPOP,% of working age population,Q,Quarterly,2017-Q3,,65.16368,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,LTINT,Long-term interest rates,TOT,Total,PC_PA,% per annum,Q,Quarterly,2017-Q3,,2.243333,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,CPI,Inflation (CPI),TOT_FOODENRG,"Total less food, less energy",AGRWTH,Annual growth rate (%),Q,Quarterly,2017-Q3,,1.689688,,A,,,,,,,
